"","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume"
"2016-03-11",97.57,98.35,97.54,97.94,5560559
"2016-03-14",97.94,99.22,97.84,98.81,6162533
"2016-03-15",98.02,98.33,97.39,98.24,5942388
"2016-03-16",98.16,99.08,97.47,98.44,6072856
"2016-03-17",98.28,99.91,98.28,99.6,6372990
"2016-03-18",99.98,100.15,98.96,99.2,10179260
"2016-03-21",98.92,99.12,97.7,98.46,7040442
"2016-03-22",97.59,98.32,97.44,97.58,6441693
"2016-03-23",97.72,97.84,96.75,96.83,5481579
"2016-03-24",96.55,97.49,96.3,97.22,5564402
"2016-03-28",97.5,98.46,97.45,98.09,5308748
"2016-03-29",98,98.37,97.36,98.16,5142710
"2016-03-30",98.9,99.09,98.34,98.91,5649754
"2016-03-31",99.01,100.37,99.01,99.31,7018274
"2016-04-01",98.8,99.34,98.58,99.07,5875887
"2016-04-04",99.3,99.44,98.58,98.68,5081530
"2016-04-05",96.85,97.61,96.15,97,10794770
"2016-04-06",96.96,97.63,96.83,97.48,6936043
"2016-04-07",97.11,97.42,95.92,96.16,7506957
"2016-04-08",96.63,96.84,95.8,96.42,6970645
"2016-04-11",96.93,97.64,96.2,96.27,5889281
"2016-04-12",96.28,97.53,96.07,97.35,6241432
"2016-04-13",98.03,99.81,97.96,99.48,7936124
"2016-04-14",99.79,99.87,98.26,98.63,6649970
"2016-04-15",98.5,98.89,98.18,98.59,6119259
"2016-04-18",99.6,101.95,99.5,101.48,10652510
"2016-04-19",102,103.64,101.92,102.64,10501279
"2016-04-20",103.02,103.48,101.96,103.27,7691731
"2016-04-21",103.36,104.12,102.65,102.91,6812842
"2016-04-22",103.06,103.99,102.93,103.77,5706485
"2016-04-25",103.5,104.62,103.35,104.57,6078747
"2016-04-26",104.58,105.57,104.18,104.89,6436721
"2016-04-27",105.19,105.6,104.76,105.28,5993223
"2016-04-28",104.54,105.49,103.8,104.03,5643056
"2016-04-29",103.95,104.21,102.4,103.26,6975746
"2016-05-02",103.3,104.57,102.8,104.36,5272033
"2016-05-03",103.88,103.99,103.19,103.78,6227081
"2016-05-04",103.31,104.48,103.2,103.67,6437875
"2016-05-05",103.98,105.12,103.45,104.93,6451333
"2016-05-06",104.51,105.74,104.39,105.54,7388921
"2016-05-09",106.01,106.68,104.97,105.34,8091670
"2016-05-10",105.53,106.75,105.45,106.6,12272833
"2016-05-11",101.46,102.5,100.62,102.29,27011855
"2016-05-12",102.5,102.85,101.12,101.71,11228759
"2016-05-13",101.71,102.04,100.36,100.52,9470074
"2016-05-16",100.41,100.67,99.37,100.36,9106315
"2016-05-17",100.79,101.29,99.55,99.94,8521448
"2016-05-18",99.59,99.77,98.36,99,9303115
"2016-05-19",98.58,98.61,97.51,98.41,7052999
"2016-05-20",99,99.93,98.77,99.78,7290174
"2016-05-23",99.6,100.33,99.12,99.18,5569056
"2016-05-24",99.45,100.04,99.38,99.51,5246484
"2016-05-25",99.92,100.8,99.81,99.86,5665781
"2016-05-26",99.89,100.49,99.57,99.81,3845868
"2016-05-27",99.81,100.53,99.81,100.29,4577408
"2016-05-31",99.85,99.89,98.57,99.22,10396157
"2016-06-01",98.67,98.99,97.73,98.52,7243851
"2016-06-02",98.07,98.72,97.87,98.72,4830090
"2016-06-03",98.66,98.92,97.73,98.75,6857453
"2016-06-06",98.96,99.12,98.46,98.78,4986555
"2016-06-07",99,99.04,98.32,98.35,5608418
"2016-06-08",98.49,98.82,97.7,98.04,5466157
"2016-06-09",97.82,97.93,97.1,97.84,5379363
"2016-06-10",97.15,97.71,96.78,97.34,7204388
"2016-06-13",96.75,98.98,96.7,97.57,8766346
"2016-06-14",97.2,98.55,97.18,98.4,6125748
"2016-06-15",98.19,99,98.19,98.27,6663175
"2016-06-16",97.8,98.63,96.86,98.38,7129696
"2016-06-17",98.41,99.14,98.27,99,8959401
"2016-06-20",100.08,100.96,99.5,99.57,8268636
"2016-06-21",99.73,99.79,98.77,98.82,5202527
"2016-06-22",99.08,99.62,98.7,98.79,4948868
"2016-06-23",99.44,99.62,98.61,99.02,5826073
"2016-06-24",96.01,97.28,95.14,95.72,15079933
"2016-06-27",94.91,95.23,94,94.38,9485245
"2016-06-28",95.46,96.28,95.14,96.05,7143103
"2016-06-29",96.91,97.29,96.28,96.98,6563579
"2016-06-30",97.1,98.07,96.88,97.82,7189489
"2016-07-01",97.75,98.64,97.71,98.03,5681627
"2016-07-05",97.77,98,97.16,97.66,5846412
"2016-07-06",97,98.52,96.76,98.45,6223292
"2016-07-07",97.63,98.48,97.58,98.41,5146032
"2016-07-08",99.25,99.85,98.77,99.62,6045805
"2016-07-11",99.8,100.35,99.4,99.98,5428018
"2016-07-12",100.18,100.79,100,100.2,8508457
"2016-07-13",100.46,100.8,99.85,99.88,5494690
"2016-07-14",100.42,100.8,99.68,99.97,7461465
"2016-07-15",100.42,100.54,99.54,99.8,5764374
"2016-07-18",99.9,100.71,99.87,100.15,5051251
"2016-07-19",99.81,99.99,99.36,99.47,5742736
"2016-07-20",98.65,98.69,97.14,98.22,10664885
"2016-07-21",98.17,99.12,97.62,98.01,7069554
"2016-07-22",98.39,98.42,97.47,97.71,5381662
"2016-07-25",97.9,98.06,97.25,97.39,4825498
"2016-07-26",97.02,97.16,96.34,96.69,6274830
"2016-07-27",96.7,96.93,95.86,96.33,6911392
"2016-07-28",96.4,96.49,95.82,95.91,7713512
"2016-07-29",95.85,96.38,95.85,95.95,8263966
"2016-08-01",96.15,96.2,95.08,95.54,7131587
"2016-08-02",95.35,95.75,94.56,95.01,7644091
"2016-08-03",95.06,96.42,95,96.09,9068697
"2016-08-04",95.53,95.98,94.71,95.16,10038331
"2016-08-05",95.4,96,95.35,95.83,6528537
"2016-08-08",96.11,96.29,95.58,95.75,7792013
"2016-08-09",95.61,96.85,95.3,96.67,15548695
"2016-08-10",96.7,99.27,95.85,97.86,27181275
"2016-08-11",98.2,98.39,97.15,97.77,9233890
"2016-08-12",97.82,97.82,96.66,96.84,9360332
"2016-08-15",97.35,97.61,96.92,97.1,5299588
"2016-08-16",96.86,97.25,96.27,96.88,5777756
"2016-08-17",96.84,96.97,96.52,96.87,5697252
"2016-08-18",96.87,97.12,96.55,96.65,5250741
"2016-08-19",96.4,96.79,96.05,96.39,6362404
"2016-08-22",96.47,96.47,95.65,95.87,5495336
"2016-08-23",96.13,96.42,95.8,95.97,4996251
"2016-08-24",96.01,96.22,95.51,95.82,5912529
"2016-08-25",95.62,95.82,95.41,95.55,4518655
"2016-08-26",95.66,96.13,94.75,95.21,6019553
"2016-08-29",95.07,95.32,94.46,94.87,7902989
"2016-08-30",94.77,95.29,94.77,94.86,6845046
