"","SYK.Open","SYK.High","SYK.Low","SYK.Close","SYK.Volume"
"2016-01-28",98.93,99.12,96.52,97.31,3584668
"2016-02-04",99,100.04,98.58,99.54,1588252
"2016-02-11",96.48,97.38,95.67,96.16,1910072
"2016-02-18",96.04,97.49,95.79,96.94,1642402
"2016-02-25",99.5,101.95,99.49,101.8,1724667
"2016-03-03",102,103,101.14,102.9,1622331
"2016-03-10",103.49,104.1,102.31,103.75,1785489
"2016-03-17",105.2,105.26,103.17,103.3,1817665
"2016-03-24",105.67,105.9,104.34,105.22,1176833
"2016-03-31",106.79,107.95,106.1,107.29,1450611
"2016-04-07",107.81,108.35,107.31,107.95,1334315
"2016-04-14",109.88,110.41,109.56,110.1,1045921
"2016-04-21",112.5,113.85,108.42,109.31,3236923
"2016-04-28",109.55,110.49,109.25,109.56,1525972
"2016-05-05",108.51,110.15,108.28,110.12,1707273
"2016-05-12",111.52,112.31,110.85,111.82,1047292
"2016-05-19",109.23,109.61,108.62,109.49,804326
"2016-05-26",111.78,112.39,111.47,111.58,763686
"2016-06-02",111.8,112.67,111.29,112.66,1145836
"2016-06-09",114.38,115.9,113.86,115.33,1474709
"2016-06-16",114.03,114.84,113.22,114.62,865226
"2016-06-23",117.37,118.65,117.12,118.38,1967348
"2016-06-30",118.85,119.83,118.41,119.83,1814583
"2016-07-07",121.07,121.6,120.79,121.03,1216682
"2016-07-14",123.28,123.41,122.19,122.3,1277737
"2016-07-21",122.21,122.64,121.67,122.56,1434051
"2016-07-28",114.85,116.16,114.39,114.96,1215899
"2016-08-04",115.12,115.33,114.44,114.85,942412
"2016-08-11",115.52,116.05,115.07,115.53,782267
"2016-08-18",113.02,113.88,112.55,113.75,919442
"2016-08-25",112.32,113.72,112.02,113.31,1203745
"2016-09-01",115.9,115.9,114.41,115.23,939405
"2016-09-08",114.79,115.58,114.64,114.87,1372421
"2016-09-15",110.95,114.12,110.61,113.5,1994784
